category,room_count,bathroom_count,size,type,price,city,region,log_price
Appartements,1.0,1.0,79.0,À Vendre,146150.0,Ariana,Ghazela,5.164798819693456
Terrains et Fermes,-1.0,-1.0,-1.0,À Vendre,420000.0,Ariana,La Soukra,5.623249290397901
Maisons et Villas,6.0,4.0,1200.0,À Vendre,1150000.0,Ariana,La Soukra,6.060697840353612
Maisons et Villas,4.0,2.0,320.0,À Vendre,265000.0,Ariana,Ghazela,5.423245873936808
Maisons et Villas,3.0,1.0,130.0,À Louer,1250.0,Ariana,Ennasr,3.0969100130080562
Appartements,3.0,1.0,157.0,À Vendre,340000.0,Ariana,Ennasr,5.531478917042255
"Magasins, Commerces et Locaux industriels",1.0,1.0,330.0,À Vendre,1550000.0,Ariana,La Soukra,6.190331698170292
Maisons et Villas,3.0,2.0,220.0,À Vendre,490000.0,Ariana,Ennasr,5.690196080028514
Appartements,2.0,1.0,105.0,À Vendre,225000.0,Ariana,La Soukra,5.352182518111363
Terrains et Fermes,-1.0,-1.0,-1.0,À Vendre,180000.0,Ariana,Autres villes,5.2552725051033065
Maisons et Villas,5.0,2.0,400.0,À Vendre,620000.0,Ariana,Chotrana,5.7923916894982534
"Magasins, Commerces et Locaux industriels",1.0,1.0,65.0,À Louer,4000.0,Ariana,Jardins D'el Menzah,3.6020599913279625
Appartements,3.0,1.0,130.0,À Vendre,320000.0,Ariana,Ennasr,5.505149978319906
Terrains et Fermes,-1.0,-1.0,-1.0,À Vendre,90000.0,Ariana,Raoued,4.954242509439325
Terrains et Fermes,-1.0,-1.0,-1.0,À Vendre,558000.0,Ariana,La Soukra,5.746634198937579
Appartements,1.0,1.0,90.0,À Louer,175.0,Ariana,Ghazela,2.2430380486862944
"Magasins, Commerces et Locaux industriels",2.0,2.0,430.0,À Louer,3500.0,Ariana,La Soukra,3.5440680443502757
Appartements,2.0,1.0,75.0,À Louer,475.0,Ariana,Raoued,2.6766936096248664
Maisons et Villas,5.0,2.0,500.0,À Louer,1000.0,Ariana,Autres villes,3.0
Appartements,2.0,1.0,80.0,À Louer,90.0,Ariana,Ennasr,1.954242509439325
Maisons et Villas,5.0,2.0,450.0,À Louer,2500.0,Ariana,Autres villes,3.3979400086720375
Maisons et Villas,4.0,2.0,180.0,À Vendre,750000.0,Ariana,La Soukra,5.8750612633917
Maisons et Villas,5.0,3.0,265.0,À Vendre,470000.0,Ariana,La Soukra,5.672097857935717
"Magasins, Commerces et Locaux industriels",4.0,1.0,120.0,À Louer,120.0,Ariana,Autres villes,2.0791812460476247
Appartements,2.0,1.0,100.0,À Louer,1000.0,Ariana,Ennasr,3.0
Appartements,2.0,1.0,80.0,À Louer,420.0,Ariana,Ghazela,2.6232492903979003
Appartements,2.0,1.0,120.0,À Vendre,270000.0,Ariana,Ennasr,5.431363764158987
"Magasins, Commerces et Locaux industriels",1.0,2.0,220.0,À Louer,1000.0,Ariana,La Soukra,3.0
Appartements,3.0,2.0,100.0,À Vendre,170000.0,Ariana,Borj Louzir,5.230448921378274
Appartements,2.0,1.0,74.0,À Vendre,180000.0,Ariana,Ennasr,5.2552725051033065
Appartements,2.0,1.0,90.0,À Vendre,205000.0,Ariana,Ariana,5.311753861055754
Appartements,1.0,2.0,110.0,À Louer,1200.0,Ariana,Autres villes,3.0791812460476247
Appartements,3.0,1.0,160.0,À Louer,1200.0,Ariana,Ennasr,3.0791812460476247
Maisons et Villas,2.0,1.0,120.0,À Louer,330.0,Ariana,Raoued,2.5185139398778875
Appartements,3.0,2.0,151.0,À Vendre,225000.0,Ariana,Jardins D'el Menzah,5.352182518111363
Maisons et Villas,5.0,3.0,1000.0,À Vendre,1000000.0,Ariana,La Soukra,6.0
Appartements,4.0,2.0,145.0,À Vendre,410000.0,Ariana,Ennasr,5.6127838567197355
Appartements,4.0,1.0,126.0,À Vendre,250000.0,Ariana,Ennasr,5.3979400086720375
Terrains et Fermes,-1.0,-1.0,-1.0,À Vendre,110000.0,Ariana,Autres villes,5.041392685158225
Appartements,2.0,1.0,75.0,À Louer,90.0,Ariana,Autres villes,1.954242509439325
Appartements,3.0,2.0,160.0,À Louer,1360.0,Ariana,La Soukra,3.1335389083702174
Appartements,2.0,1.0,108.0,À Louer,90.0,Ariana,Autres villes,1.954242509439325
"Magasins, Commerces et Locaux industriels",1.0,1.0,100.0,À Louer,1800.0,Ariana,Ariana Ville,3.255272505103306
Maisons et Villas,3.0,1.0,130.0,À Louer,1200.0,Ariana,Jardins D'el Menzah,3.0791812460476247
Maisons et Villas,1.0,1.0,150.0,À Vendre,68000.0,Ariana,Chotrana,4.832508912706237
Maisons et Villas,5.0,1.0,1000.0,À Vendre,400000.0,Ariana,Sidi Thabet,5.6020599913279625
"Magasins, Commerces et Locaux industriels",1.0,1.0,30.0,À Vendre,10000.0,Ariana,Jardins D'el Menzah,4.0
Maisons et Villas,1.0,1.0,244.0,À Vendre,88000.0,Ariana,Raoued,4.944482672150168
Appartements,2.0,1.0,68.0,À Louer,700.0,Ariana,Ariana Ville,2.845098040014257
Maisons et Villas,3.0,1.0,125.0,À Vendre,140000.0,Ariana,Raoued,5.146128035678238
Appartements,4.0,2.0,230.0,À Louer,1800.0,Ariana,La Soukra,3.255272505103306
Appartements,2.0,1.0,100.0,À Louer,490.0,Ariana,Ghazela,2.690196080028514
Maisons et Villas,6.0,2.0,130.0,À Vendre,210000.0,Ariana,Ariana,5.3222192947339195
Appartements,1.0,1.0,64.0,À Vendre,155000.0,Ariana,Autres villes,5.190331698170292
Terrains et Fermes,-1.0,-1.0,-1.0,À Vendre,120000.0,Ariana,Raoued,5.079181246047625
Appartements,3.0,2.0,110.0,À Louer,1000.0,Ariana,Ariana,3.0
Colocations,2.0,1.0,75.0,À Louer,130.0,Ariana,Ariana,2.113943352306837
Terrains et Fermes,-1.0,-1.0,-1.0,À Vendre,55000000.0,Ariana,Raoued,7.740362689494244
Maisons et Villas,3.0,1.0,200.0,À Vendre,90000.0,Ariana,Raoued,4.954242509439325
Terrains et Fermes,-1.0,-1.0,-1.0,À Vendre,550000.0,Ariana,Ariana,5.740362689494244
Locations de vacances,1.0,1.0,50.0,À Louer,85.0,Ariana,Ennasr,1.9294189257142926
Appartements,2.0,1.0,105.0,À Vendre,230000.0,Ariana,Jardins D'el Menzah,5.361727836017593
Maisons et Villas,1.0,1.0,138.0,À Vendre,80000.0,Ariana,Raoued,4.903089986991944
Locations de vacances,2.0,1.0,70.0,À Louer,90.0,Ariana,Ennasr,1.954242509439325
Maisons et Villas,2.0,1.0,103.0,À Vendre,115000.0,Ariana,Ghazela,5.060697840353612
Terrains et Fermes,-1.0,-1.0,-1.0,À Vendre,650000.0,Ariana,La Soukra,5.812913356642856
Terrains et Fermes,-1.0,-1.0,-1.0,À Vendre,708800.0,Ariana,Borj Louzir,5.8505237088789945
Terrains et Fermes,-1.0,-1.0,-1.0,À Vendre,200000.0,Ariana,Raoued,5.301029995663981
Terrains et Fermes,-1.0,-1.0,-1.0,À Vendre,2250000.0,Ariana,Raoued,6.352182518111363
Terrains et Fermes,-1.0,-1.0,-1.0,À Vendre,260000.0,Ariana,Raoued,5.414973347970818
Terrains et Fermes,-1.0,-1.0,-1.0,À Vendre,500000.0,Ariana,Raoued,5.698970004336019
Terrains et Fermes,-1.0,-1.0,-1.0,À Vendre,170000.0,Ariana,Sidi Thabet,5.230448921378274
Terrains et Fermes,-1.0,-1.0,-1.0,À Vendre,400000.0,Ariana,Sidi Thabet,5.6020599913279625
Terrains et Fermes,-1.0,-1.0,-1.0,À Vendre,270000.0,Ariana,Sidi Thabet,5.431363764158987
Terrains et Fermes,-1.0,-1.0,-1.0,À Vendre,250000.0,Ariana,Sidi Thabet,5.3979400086720375
Terrains et Fermes,-1.0,-1.0,-1.0,À Vendre,280000.0,Ariana,Sidi Thabet,5.447158031342219
Terrains et Fermes,-1.0,-1.0,-1.0,À Vendre,350000.0,Ariana,Sidi Thabet,5.544068044350276
Terrains et Fermes,-1.0,-1.0,-1.0,À Vendre,1100000.0,Ariana,Sidi Thabet,6.041392685158225
Terrains et Fermes,-1.0,-1.0,-1.0,À Vendre,180000.0,Ariana,Sidi Thabet,5.2552725051033065
Terrains et Fermes,-1.0,-1.0,-1.0,À Vendre,400000.0,Ariana,Raoued,5.6020599913279625
Terrains et Fermes,-1.0,-1.0,-1.0,À Vendre,150000.0,Ariana,Sidi Thabet,5.176091259055681
Terrains et Fermes,-1.0,-1.0,-1.0,À Vendre,250000.0,Ariana,Sidi Thabet,5.3979400086720375
Terrains et Fermes,-1.0,-1.0,-1.0,À Vendre,2400000.0,Ariana,Sidi Thabet,6.380211241711606
Terrains et Fermes,-1.0,-1.0,-1.0,À Vendre,220000.0,Ariana,Sidi Thabet,5.342422680822207
Terrains et Fermes,-1.0,-1.0,-1.0,À Vendre,250000.0,Ariana,Sidi Thabet,5.3979400086720375
Appartements,3.0,1.0,163.0,À Vendre,340000.0,Ariana,Borj Louzir,5.531478917042255
Maisons et Villas,3.0,1.0,120.0,À Vendre,400000.0,Ariana,Ghazela,5.6020599913279625
Terrains et Fermes,-1.0,-1.0,-1.0,À Vendre,650000.0,Ariana,Raoued,5.812913356642856
Terrains et Fermes,-1.0,-1.0,-1.0,À Vendre,800000.0,Ariana,Ghazela,5.903089986991944
Terrains et Fermes,-1.0,-1.0,-1.0,À Vendre,900000.0,Ariana,Ariana,5.954242509439325
Terrains et Fermes,-1.0,-1.0,-1.0,À Vendre,4000000.0,Ariana,Sidi Thabet,6.6020599913279625
Terrains et Fermes,-1.0,-1.0,-1.0,À Vendre,200000.0,Ariana,Sidi Thabet,5.301029995663981
Maisons et Villas,8.0,3.0,280.0,À Vendre,145000.0,Ariana,Ghazela,5.161368002234975
Maisons et Villas,3.0,2.0,188.0,À Vendre,257000.0,Ariana,Jardins D'el Menzah,5.409933123331294
Appartements,1.0,1.0,65.0,À Louer,800.0,Ariana,Ennasr,2.9030899869919438
Appartements,1.0,1.0,83.0,À Louer,950.0,Ariana,La Soukra,2.9777236052888476
Appartements,3.0,1.0,76.0,À Vendre,115000.0,Ariana,Chotrana,5.060697840353612
Terrains et Fermes,-1.0,-1.0,-1.0,À Vendre,700000.0,Ariana,La Soukra,5.845098040014257
Terrains et Fermes,-1.0,-1.0,-1.0,À Vendre,90000.0,Ariana,Raoued,4.954242509439325
Terrains et Fermes,-1.0,-1.0,-1.0,À Vendre,320000.0,Ariana,La Soukra,5.505149978319906
Appartements,2.0,2.0,120.0,À Louer,1200.0,Ariana,Jardins D'el Menzah,3.0791812460476247
Appartements,1.0,1.0,50.0,À Louer,300.0,Ariana,Borj Louzir,2.4771212547196626
Appartements,2.0,2.0,130.0,À Vendre,28000.0,Ariana,Jardins D'el Menzah,4.447158031342219
Terrains et Fermes,-1.0,-1.0,-1.0,À Vendre,75000.0,Ariana,Raoued,4.8750612633917
Maisons et Villas,2.0,1.0,125.0,À Vendre,78000.0,Ariana,Autres villes,4.892094602690481
Appartements,2.0,1.0,110.0,À Louer,900.0,Ariana,Ariana Ville,2.9542425094393248
Bureaux et Plateaux,4.0,2.0,400.0,À Louer,3000.0,Ariana,Autres villes,3.4771212547196626
"Magasins, Commerces et Locaux industriels",1.0,0.0,100.0,À Louer,650.0,Ariana,Jardins D'el Menzah,2.8129133566428557
Terrains et Fermes,-1.0,-1.0,-1.0,À Vendre,85000.0,Ariana,Raoued,4.929418925714293
Appartements,4.0,3.0,370.0,À Vendre,1100000.0,Ariana,La Soukra,6.041392685158225
Appartements,3.0,1.0,500.0,À Louer,1360.0,Ariana,La Soukra,3.1335389083702174
Maisons et Villas,2.0,1.0,200.0,À Louer,130.0,Ariana,Autres villes,2.113943352306837
Appartements,3.0,2.0,143.0,À Vendre,360000.0,Ariana,La Soukra,5.556302500767287
Appartements,4.0,2.0,200.0,À Vendre,360000.0,Ariana,Ennasr,5.556302500767287
Appartements,3.0,1.0,150.0,À Vendre,350000.0,Ariana,Ennasr,5.544068044350276
Appartements,2.0,1.0,130.0,À Vendre,300000.0,Ariana,Ennasr,5.477121254719663
Appartements,4.0,2.0,120.0,À Vendre,200000.0,Ariana,Autres villes,5.301029995663981
Appartements,1.0,1.0,56.0,À Vendre,158000.0,Ariana,Jardins D'el Menzah,5.198657086954422
Appartements,2.0,2.0,136.0,À Vendre,300000.0,Ariana,Ennasr,5.477121254719663
Appartements,3.0,2.0,140.0,À Vendre,275000.0,Ariana,Jardins D'el Menzah,5.439332693830263
Appartements,1.0,1.0,27.0,À Louer,70.0,Ariana,Autres villes,1.845098040014257
"Magasins, Commerces et Locaux industriels",1.0,1.0,36.0,À Vendre,119000.0,Ariana,Ariana,5.075546961392531
Appartements,3.0,1.0,110.0,À Vendre,150000.0,Ariana,Raoued,5.176091259055681
Appartements,2.0,1.0,100.0,À Vendre,230000.0,Ariana,Jardins D'el Menzah,5.361727836017593
Appartements,2.0,1.0,120.0,À Vendre,240000.0,Ariana,Ennasr,5.380211241711606
Terrains et Fermes,-1.0,-1.0,-1.0,À Vendre,75000.0,Ariana,Ariana,4.8750612633917
Appartements,3.0,1.0,165.0,À Vendre,1050000.0,Ariana,Jardins D'el Menzah,6.021189299069938
Appartements,1.0,1.0,70.0,À Louer,830.0,Ariana,Jardins D'el Menzah,2.9190780923760737
Appartements,2.0,1.0,126.0,À Vendre,330000.0,Ariana,Ennasr,5.518513939877887
Maisons et Villas,5.0,3.0,327.0,À Vendre,880000.0,Ariana,La Soukra,5.944482672150168
Maisons et Villas,4.0,5.0,434.0,À Vendre,1800000.0,Ariana,La Soukra,6.2552725051033065
Appartements,3.0,3.0,278.0,À Vendre,750000.0,Ariana,La Soukra,5.8750612633917
Maisons et Villas,5.0,3.0,210.0,À Vendre,320000.0,Ariana,Ariana Ville,5.505149978319906
Appartements,2.0,2.0,186.0,À Vendre,470000.0,Ariana,La Soukra,5.672097857935717
Appartements,3.0,3.0,188.0,À Vendre,650000.0,Ariana,La Soukra,5.812913356642856
Appartements,4.0,3.0,370.0,À Vendre,1100000.0,Ariana,La Soukra,6.041392685158225
Appartements,2.0,2.0,120.0,À Louer,100.0,Ariana,Ennasr,2.0
Appartements,1.0,1.0,87.0,À Vendre,243000.0,Ariana,Ennasr,5.385606273598312
Terrains et Fermes,-1.0,-1.0,-1.0,À Vendre,97126380.0,Ariana,Mnihla,7.987337202435764
Appartements,3.0,3.0,165.0,À Vendre,650000.0,Ariana,La Soukra,5.812913356642856
Appartements,2.0,1.0,98.0,À Louer,550.0,Ariana,Raoued,2.7403626894942437
Appartements,2.0,1.0,60.0,À Louer,380.0,Ariana,Borj Louzir,2.57978359661681
Appartements,4.0,2.0,130.0,À Vendre,285000.0,Ariana,Jardins D'el Menzah,5.45484486000851
Terrains et Fermes,-1.0,-1.0,-1.0,À Vendre,27400.0,Ariana,Ariana,4.437750562820388
Appartements,3.0,1.0,85.0,À Louer,150.0,Ariana,Ghazela,2.1760912590556813
Terrains et Fermes,-1.0,-1.0,-1.0,À Vendre,400000.0,Ariana,Raoued,5.6020599913279625
Appartements,1.0,1.0,60.0,À Vendre,180000.0,Ariana,Ennasr,5.2552725051033065
Appartements,2.0,1.0,130.0,À Louer,750.0,Ariana,La Soukra,2.8750612633917
Appartements,2.0,1.0,120.0,À Louer,700.0,Ariana,La Soukra,2.845098040014257
Appartements,4.0,2.0,110.0,À Louer,830.0,Ariana,Autres villes,2.9190780923760737
Appartements,3.0,2.0,140.0,À Louer,1400.0,Ariana,Autres villes,3.146128035678238
Maisons et Villas,2.0,1.0,130.0,À Louer,650.0,Ariana,Ghazela,2.8129133566428557
Maisons et Villas,4.0,1.0,110.0,À Louer,1300.0,Ariana,Ennasr,3.113943352306837
Appartements,2.0,1.0,90.0,À Louer,90.0,Ariana,Autres villes,1.954242509439325
Appartements,1.0,1.0,75.0,À Vendre,190000.0,Ariana,Ennasr,5.278753600952829
Appartements,2.0,2.0,100.0,À Louer,850.0,Ariana,La Soukra,2.929418925714293
Appartements,4.0,1.0,100.0,À Vendre,400000.0,Ariana,Autres villes,5.6020599913279625
Terrains et Fermes,-1.0,-1.0,-1.0,À Vendre,750000.0,Ariana,Autres villes,5.8750612633917
Terrains et Fermes,-1.0,-1.0,-1.0,À Vendre,100000.0,Ariana,Borj Louzir,5.0
Appartements,1.0,1.0,80.0,À Louer,120.0,Ariana,La Soukra,2.0791812460476247
Maisons et Villas,4.0,2.0,120.0,À Vendre,200000.0,Ariana,Autres villes,5.301029995663981
Appartements,3.0,1.0,130.0,À Louer,1400.0,Ariana,Jardins D'el Menzah,3.146128035678238
Appartements,3.0,2.0,138.0,À Vendre,295000.0,Ariana,Ariana Ville,5.469822015978163
"Magasins, Commerces et Locaux industriels",3.0,2.0,98.0,À Vendre,65000.0,Ariana,Autres villes,4.812913356642856
Maisons et Villas,3.0,1.0,90.0,À Louer,470.0,Ariana,La Soukra,2.6720978579357175
Appartements,1.0,1.0,85.0,À Louer,950.0,Ariana,La Soukra,2.9777236052888476
Terrains et Fermes,-1.0,-1.0,-1.0,À Vendre,260000.0,Ariana,Mnihla,5.414973347970818
Maisons et Villas,2.0,1.0,110.0,À Vendre,115000.0,Ariana,Autres villes,5.060697840353612
Terrains et Fermes,-1.0,-1.0,-1.0,À Vendre,43000.0,Ariana,Autres villes,4.633468455579586
Appartements,3.0,1.0,130.0,À Louer,120.0,Ariana,Autres villes,2.0791812460476247
Terrains et Fermes,-1.0,-1.0,-1.0,À Vendre,470000.0,Ariana,Ariana Ville,5.672097857935717
Terrains et Fermes,-1.0,-1.0,-1.0,À Vendre,470000.0,Ariana,Ariana Ville,5.672097857935717
Appartements,1.0,1.0,72.0,À Vendre,160000.0,Ariana,Chotrana,5.204119982655925
Maisons et Villas,4.0,2.0,260.0,À Vendre,490000.0,Ariana,Ariana,5.690196080028514
Appartements,2.0,1.0,62.0,À Vendre,109000.0,Ariana,Chotrana,5.037426497940624
Terrains et Fermes,-1.0,-1.0,-1.0,À Vendre,650000.0,Ariana,Jardins D'el Menzah,5.812913356642856
Maisons et Villas,4.0,1.0,260.0,À Vendre,650000.0,Ariana,La Soukra,5.812913356642856
Terrains et Fermes,-1.0,-1.0,-1.0,À Vendre,250000.0,Ariana,Raoued,5.3979400086720375
Appartements,3.0,1.0,80.0,À Louer,450.0,Ariana,Borj Louzir,2.6532125137753435
Appartements,3.0,1.0,85.0,À Vendre,150000.0,Ariana,Borj Louzir,5.176091259055681
Maisons et Villas,4.0,2.0,350.0,À Louer,1700.0,Ariana,Autres villes,3.230448921378274
Maisons et Villas,4.0,2.0,300.0,À Louer,800.0,Ariana,Autres villes,2.9030899869919438
Appartements,1.0,1.0,40.0,À Louer,300.0,Ariana,Ghazela,2.4771212547196626
Maisons et Villas,2.0,1.0,100.0,À Louer,290.0,Ariana,Chotrana,2.462397997898956
Maisons et Villas,2.0,1.0,80.0,À Louer,380.0,Ariana,Ariana,2.57978359661681
Maisons et Villas,2.0,1.0,90.0,À Louer,250.0,Ariana,Raoued,2.3979400086720375
Appartements,3.0,1.0,110.0,À Louer,790.0,Ariana,La Soukra,2.8976270912904414
Appartements,2.0,1.0,100.0,À Louer,400.0,Ariana,Raoued,2.6020599913279625
Terrains et Fermes,-1.0,-1.0,-1.0,À Vendre,2820150.0,Ariana,Raoued,6.450272208475314
Bureaux et Plateaux,2.0,1.0,90.0,À Louer,900.0,Ariana,Ennasr,2.9542425094393248
Maisons et Villas,3.0,1.0,130.0,À Louer,370.0,Ariana,La Soukra,2.568201724066995
Terrains et Fermes,-1.0,-1.0,-1.0,À Vendre,800000.0,Ariana,Sidi Thabet,5.903089986991944
Appartements,4.0,2.0,180.0,À Louer,1200.0,Ariana,Ariana,3.0791812460476247
Maisons et Villas,6.0,3.0,350.0,À Louer,2850.0,Ariana,Ariana,3.45484486000851
Appartements,2.0,1.0,52.0,À Vendre,85000.0,Ariana,Ariana,4.929418925714293
Appartements,3.0,2.0,120.0,À Vendre,245000.0,Ariana,Ariana,5.389166084364533
Terrains et Fermes,-1.0,-1.0,-1.0,À Vendre,249000.0,Ariana,Ariana,5.396199347095736
Terrains et Fermes,-1.0,-1.0,-1.0,À Vendre,190000.0,Ariana,Ariana,5.278753600952829
Appartements,3.0,2.0,153.0,À Vendre,339000.0,Ariana,Ariana,5.5301996982030825
Appartements,2.0,1.0,115.0,À Vendre,168000.0,Ariana,Ghazela,5.225309281725863
Maisons et Villas,3.0,2.0,609.0,À Vendre,540000.0,Ariana,Ariana,5.732393759822968
Maisons et Villas,3.0,2.0,161.0,À Vendre,370000.0,Ariana,Ariana,5.568201724066995
Appartements,3.0,1.0,100.0,À Vendre,125000.0,Ariana,Raoued,5.096910013008056
Appartements,2.0,1.0,70.0,À Vendre,230000.0,Ariana,Ariana,5.361727836017593
Terrains et Fermes,-1.0,-1.0,-1.0,À Vendre,230000.0,Ariana,Ariana,5.361727836017593
Maisons et Villas,3.0,4.0,1078.0,À Vendre,1700000.0,Ariana,Ariana,6.230448921378274
Bureaux et Plateaux,1.0,1.0,60.0,À Vendre,160000.0,Ariana,Ariana,5.204119982655925
Bureaux et Plateaux,3.0,1.0,131.0,À Louer,2500.0,Ariana,Ghazela,3.3979400086720375
Appartements,3.0,2.0,125.0,À Vendre,210000.0,Ariana,Ghazela,5.3222192947339195
Terrains et Fermes,-1.0,-1.0,-1.0,À Vendre,120000.0,Ariana,Ghazela,5.079181246047625
Bureaux et Plateaux,2.0,1.0,100.0,À Louer,1600.0,Ariana,Ghazela,3.2041199826559246
Maisons et Villas,3.0,2.0,400.0,À Vendre,650000.0,Ariana,Ghazela,5.812913356642856
Maisons et Villas,4.0,2.0,410.0,À Vendre,530000.0,Ariana,Ghazela,5.724275869600789
Appartements,2.0,1.0,65.0,À Louer,600.0,Ariana,Ariana,2.7781512503836434
Maisons et Villas,4.0,2.0,120.0,À Vendre,175000.0,Ariana,Ghazela,5.243038048686294
Appartements,3.0,2.0,150.0,À Louer,550.0,Ariana,Borj Louzir,2.7403626894942437
Terrains et Fermes,-1.0,-1.0,-1.0,À Vendre,530000.0,Ariana,Jardins D'el Menzah,5.724275869600789
Appartements,3.0,1.0,80.0,À Louer,800.0,Ariana,Ennasr,2.9030899869919438
Appartements,2.0,1.0,60.0,À Louer,650.0,Ariana,Ennasr,2.8129133566428557
Appartements,4.0,2.0,157.0,À Vendre,441000.0,Ariana,Ennasr,5.644438589467838
Appartements,3.0,2.0,187.0,À Vendre,570000.0,Ariana,La Soukra,5.7558748556724915
Appartements,1.0,1.0,57.0,À Vendre,145000.0,Ariana,Jardins D'el Menzah,5.161368002234975
Locations de vacances,1.0,1.0,60.0,À Louer,70.0,Ariana,Ennasr,1.845098040014257
Maisons et Villas,5.0,3.0,327.0,À Vendre,840000.0,Ariana,La Soukra,5.924279286061882
Maisons et Villas,3.0,1.0,155.0,À Louer,465.0,Ariana,Mnihla,2.667452952889954
Appartements,2.0,1.0,95.0,À Louer,90.0,Ariana,Autres villes,1.954242509439325
Appartements,2.0,1.0,95.0,À Louer,90.0,Ariana,Autres villes,1.954242509439325
"Magasins, Commerces et Locaux industriels",1.0,1.0,750.0,À Vendre,650000.0,Ariana,Mnihla,5.812913356642856
Appartements,1.0,1.0,50.0,À Louer,650.0,Ariana,Ennasr,2.8129133566428557
"Magasins, Commerces et Locaux industriels",2.0,1.0,40.0,À Vendre,82000.0,Ariana,La Soukra,4.913813852383717
Appartements,1.0,1.0,80.0,À Louer,90.0,Ariana,La Soukra,1.954242509439325
Terrains et Fermes,-1.0,-1.0,-1.0,À Vendre,480000.0,Ariana,Chotrana,5.681241237375588
Appartements,3.0,1.0,130.0,À Louer,650.0,Ariana,Mnihla,2.8129133566428557
Appartements,3.0,1.0,105.0,À Louer,750.0,Ariana,Ghazela,2.8750612633917
Appartements,2.0,2.0,126.0,À Vendre,330000.0,Ariana,Jardins D'el Menzah,5.518513939877887
Maisons et Villas,5.0,3.0,220.0,À Vendre,480000.0,Ariana,Ghazela,5.681241237375588
Appartements,3.0,1.0,150.0,À Louer,650.0,Ariana,La Soukra,2.8129133566428557
Appartements,3.0,2.0,163.0,À Vendre,340000.0,Ariana,Ennasr,5.531478917042255
Appartements,1.0,1.0,70.0,À Louer,280.0,Ariana,Autres villes,2.4471580313422194
Appartements,2.0,1.0,90.0,À Louer,750.0,Ariana,Ariana,2.8750612633917
Maisons et Villas,4.0,1.0,100.0,À Louer,530.0,Ariana,Ghazela,2.724275869600789
Terrains et Fermes,-1.0,-1.0,-1.0,À Vendre,180000.0,Ariana,Sidi Thabet,5.2552725051033065
Appartements,4.0,1.0,110.0,À Louer,600.0,Ariana,Ariana,2.7781512503836434
Appartements,2.0,1.0,105.0,À Vendre,220000.0,Ariana,Ennasr,5.342422680822207
Appartements,4.0,1.0,153.0,À Vendre,360000.0,Ariana,Ariana,5.556302500767287
Appartements,3.0,2.0,200.0,À Louer,2300.0,Ariana,Ennasr,3.361727836017593
